Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.1583096,324.334602,328.3978494,257.601848,193.4711828,281.8661563,243.5160167,144.052292,102.474432
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1357281,4.8637404,6.511798046,26.53213203,9.94,15.89321747,10.04259283,24.18168904,21.20931197,43.50584811,190.6122689,178.677727,153.34,147.13
Algeria,,,,,,,,83.920974,113,131,165,150,126,157,141,131,101,82.272423,53.256539,38.377835,31.481969,22.032304,,,,,,,,,,,,,,27,35,48.86373265,26.78254516,45.70240584,27.97137575,30.90160494,44.24261892,38.7158102,52.84956417,74.82592,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,79,89,77,71,104,150,124.5,121.637,132.9,148.9,209.275,174.091,179.96,202.12,263.26,266.43,216.23,223,229.92097,297,214.9052159,412.666785,602.6714513,669.453676,715.9620158,714.458886,564.2615417,523.1989547,670.2787402,2746.615873,1252.908992,
Antigua and Barbuda,,,,,,,,,,,,,,,,,11.1481481,10.925926,4.3148149,9.4740741,6.3111111,,,10.981481,8.3962963,7.85925931,2.0518519,1.1111111,1.0851852,1.5818519,1.5581481,1.5644444,1.4114815,1.4892926,1.566737,1.670140741,1.837154815,2.13110037,2.367652222,2.122362963,2.06696,2.047116296,2.157660741,2.22244815,,,
Argentina,,,,,,,,,16,28,36,27,18,19,22,18,20,21,,,,,142.4,163.3,176.5,194.9,207.1,231.9,246.9,250,268.2,255.9,119.55,180.04,234.92,314.01,355.57,462.54,630.14,767.0340641,1037.765446,1137.054506,979.2059223,893.9934866,743.1489351,685.001376,833.445536
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.34,3.21,12.35,4.7,20.536,24.0538,26.912,137.907,207.3690581,182.0599332,238.8327307,223.5974669,180.4945158,227.4298764,300.3941935,314.7886918,355.2978613,390.5899788,363.78848,358.015504
Aruba,,,,,,,,,,,,,,,,,,,,,,20.2793297,7.094972,7.0949721,8.1005586,8.547486,7.93296088,10.55865921,16.59217853,32.4078214,48.77653684,49.13407814,51.8379892,60.1508371,61.0279332,61.93074494,71.86417126,73.0726257,75.6424581,72.96089386,64.91620111,63.91061452,67.82122905,66.59217877,70.22346369,74.9720685,
Australia,66.080011,83.962072,122.832305,194.380468,213.19839,221.955414,211.998207,209.027446,246.848771,274.383186,304,365,365,381,403,312,292,341,428,555,674,653,565,533,587,701,872,951,966,1055,1053,1059,1219,1777,2253,1531.079216,2051.227219,2980.870874,3366.427027,3224.401181,4655.461396,6597.638172,7288.016963,6966.095311,6646.922776,6013.698752,6376.759104
Austria,24.6923072,46.5966974,98.605589,182.0855804,271.4622949,244.0662988,232.5968047,238.989416,187.121684,231.558022,334.355184,285.897341,265.973598,214.842139,195.0964,190.024231,224.234903,229.050319,251.1343,302.037571,319.940137,415.598208,206,289,292,1485,1452,1303,1319,1370,1298,1422,1518,1874,2226,2119.578269,2301.257853,2592.561158,2985.151474,2906.772817,2990.633136,3620.474705,3451.974791,3895.857836,4410.151058,3885.593728,4128.131712
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,9.31,14.861,19.039,30.272,77.03,100.962,141.882,234.678,169.284,200.746,239.397,274.348,404.535,567.345,638.101,953.589,1279.63,2072.681,1902.602,2031.324,1293.019008,740.236016
"Bahamas, The",,,,,,,26.5,29.2,38.9,27.2,41.7,30.5,35.2,26.7,32.4,33.7,32.2,39.5,47.4,39.7,46.4,55.1,38.6,36.7,39.6,44.2,57.6,49.7,51,61.6,72.6,74.95,82.19973,100.12,119.25,83.96435,100.29,94.99,65.92482,63.34,88.04,119.727,139.704,138.725,150.819241,178.800144,193.848524
Bahrain,,,,,,263.359039,292.934456,347,449,322.549169,329.755909,368,373,345,384,778,716,673,669,694,332,369,336,396,431,500,559,635,725,856,1010,1290,872,1080,1120,1223.404255,1530.851064,1482.771277,1774.489021,1390.957447,1641.755319,2050,2074.468085,2165.957447,2364.361702,,
